date,incident_type,severity,status,description,reported_by
2024-01-15,Phishing,High,Open,Suspicious email with fake login page targeting finance department,alice_admin
2024-01-16,Malware,Critical,Investigating,Ransomware detected on multiple workstations in HR department,bob_user
2024-01-17,DDoS,Medium,Resolved,Distributed denial of service attack on main website lasted 2 hours,charlie_user
2024-01-18,Data Breach,Critical,Open,Unauthorized access to customer database detected,alice_admin
2024-01-19,Insider Threat,High,Investigating,Employee accessed unauthorized files outside work hours,bob_user
2024-01-20,Phishing,Low,Closed,Phishing attempt blocked by email filter,charlie_user
2024-01-21,SQL Injection,High,Open,SQL injection attempt detected on login portal,alice_admin
2024-01-22,Malware,Medium,Resolved,Trojan horse removed from marketing laptop,bob_user
2024-01-23,Social Engineering,Medium,Investigating,Phone call impersonating IT support requesting credentials,charlie_user
2024-01-24,Zero Day,Critical,Open,Unknown vulnerability exploited in legacy system,alice_admin
2024-01-25,Phishing,High,Resolved,Spear phishing targeting C-level executives,bob_user
2024-01-26,Ransomware,Critical,Investigating,Encryption attack on backup servers,charlie_user
2024-01-27,DDoS,Low,Closed,Minor traffic spike detected and mitigated,alice_admin
2024-01-28,Password Attack,Medium,Open,Brute force attack on admin accounts,bob_user
2024-01-29,Malware,High,Resolved,Cryptocurrency miner found on development server,charlie_user
2024-01-30,Phishing,Medium,Closed,Fake shipping notification emails sent to staff,alice_admin
2024-02-01,Data Breach,Critical,Open,Sensitive documents leaked on dark web,bob_user
2024-02-02,Insider Threat,High,Investigating,USB device used to copy confidential files,charlie_user
2024-02-03,DDoS,High,Resolved,Coordinated attack from multiple IP addresses,alice_admin
2024-02-04,Malware,Medium,Open,Adware installed through compromised browser extension,bob_user
2024-02-05,Phishing,Low,Closed,Generic phishing email caught by spam filter,charlie_user
2024-02-06,SQL Injection,Critical,Investigating,Database manipulation attempt on payment system,alice_admin
2024-02-07,Social Engineering,Medium,Resolved,Fake vendor invoice sent to accounting,bob_user
2024-02-08,Zero Day,Critical,Open,Unpatched vulnerability in third-party software,charlie_user
2024-02-09,Ransomware,High,Investigating,File encryption detected on shared network drive,alice_admin
