dataset_name,category,source,last_updated,record_count,file_size_mb
Global Threat Intelligence Feed,Threat Intelligence,CrowdStrike,2024-01-15,125000,450.5
Network Traffic Logs Q1 2024,Network Logs,Internal Firewall,2024-01-20,2500000,1800.25
Malware Signatures Database,Threat Intelligence,VirusTotal,2024-01-18,75000,320.75
User Authentication Logs,Access Logs,Active Directory,2024-01-22,500000,180.5
Phishing Email Dataset,Threat Intelligence,PhishTank,2024-01-17,30000,95.25
Vulnerability Scan Results,Security Assessment,Nessus Scanner,2024-01-25,15000,50.8
Intrusion Detection Alerts,Network Logs,Snort IDS,2024-01-21,80000,210.3
Dark Web Monitoring Data,Threat Intelligence,DarkOwl,2024-01-19,10000,75.6
Incident Response Records,Security Operations,Internal SOC,2024-01-28,5000,25.4
Patch Management Database,System Management,WSUS,2024-01-23,45000,120.9
Security Information Events,SIEM Logs,Splunk,2024-01-26,1800000,2200.5
Endpoint Detection Response,Threat Intelligence,CarbonBlack,2024-01-24,95000,380.2
Cloud Security Posture Data,Cloud Security,AWS GuardDuty,2024-01-27,60000,150.7
Identity Access Management,Access Logs,Okta,2024-01-29,120000,90.3
Threat Actor Profiles,Threat Intelligence,MITRE ATT&CK,2024-01-16,8500,45.2
Ransomware IOC Database,Threat Intelligence,Ransomware Tracker,2024-01-30,12000,60.8
Web Application Firewall Logs,Network Logs,ModSecurity,2024-02-01,350000,420.6
Security A
